Train,Test,,
0.0697084,0.0497076,,
0.0938686,0.0817293,,
0.1460180,0.1284607,,
0.1507056,0.1293802,,
0.2143978,0.1528736,,
0.2323833,0.1863143,,
0.2670223,0.1869575,,
0.2670672,0.2282705,,
0.2910070,0.2046922,,
0.2927668,0.2147260,,
0.3502119,0.2295918,,
0.3672684,0.2321650,,
0.3825423,0.2358141,,
0.4004412,0.2581937,,
0.4020240,0.2583510,,
0.4021518,0.3652042,,
0.4148806,0.2135413,,
0.4168084,0.1463785,,
0.4366592,0.3283471,,
0.4397257,0.1975061,,
0.4412081,0.3239362,,
0.4492277,0.3262475,,
0.4714856,0.3543963,,
0.4796978,0.3672285,,
0.4824152,0.3683662,,
0.4847535,0.2799663,,
0.4885293,0.2881574,,
0.4925189,0.3794472,,
0.5031550,0.3278746,,
0.5074345,0.3938525,,
0.5077083,0.4023575,,
0.5080834,0.4512953,,
0.5127413,0.4287555,,
0.5203273,0.4645460,,
0.5224973,0.4413178,,
0.5236683,0.4500693,,
0.5483697,0.4537916,,
0.5527431,0.4544552,,
0.5527748,0.4585226,,
0.5558065,0.4623050,,
0.5573318,0.4801148,,
0.5648576,0.4831587,,
0.5648989,0.5433566,,
0.5666621,0.4648364,,
0.5675419,0.4959084,,
0.5858471,0.5198095,,
0.6177703,0.5224906,,
0.6213879,0.5249956,,
0.6317883,0.4982348,,
0.6448770,0.5004738,,
0.6461132,0.5055105,,
0.6529361,0.5936639,,
0.6567917,0.5972479,,
0.6682481,0.6034828,,
0.6815836,0.6071093,,
0.7021185,0.6362858,,
0.7033069,0.5837189,,
0.7100231,0.4752528,,
0.7141592,0.5207635,,
0.7158485,0.5257383,,
0.7204657,0.5711462,,
0.7254114,0.5054444,,
0.7283675,0.5061232,,
0.7289634,0.5802871,,
0.7299895,0.5138442,,
0.7329466,0.5874057,,
0.7337628,0.5905125,,
0.7338392,0.5590278,,
0.7353878,0.5466977,,
0.7366326,0.5733975,,
0.7375709,0.6780837,,
0.7384463,0.6743419,,
0.7429725,0.6539215,,
0.7449237,0.6548092,,
0.7451280,0.6594490,,
0.7453416,0.6855669,,
0.7470529,0.6552258,,
0.7483118,0.7434922,,
0.7510594,0.7196003,,
0.7564013,0.7537207,,
0.7564235,0.7180581,,
0.7566287,0.7224131,,
0.7587582,0.7315633,,
0.7626078,0.6958021,,
0.7628374,0.6990758,,
0.7638237,0.7474487,,
0.7653071,0.7346487,,
0.7671427,0.7313273,,
0.7730188,0.7405460,,
0.7730203,0.7426867,,
0.7749290,0.7431416,,
0.7757829,0.7419289,,
0.7808216,0.7479473,,
0.7820644,0.6849419,,
0.7832104,0.7475469,,
0.7854468,0.7207031,,
0.7937663,0.7253042,,
0.7947732,0.7460586,,
0.7969015,0.7551905,,
