feature,imp
daily_ride_qrt,0.8066355410943745
speed_limit,0.045831718387297174
Cluster_y,0.03522906359570225
Cluster_x,0.029851759993954705
pk_on_st_cnt,0.02073119969288026
pk_metered_cnt,0.017457303846701456
facility_type_BIKE ROUTE,0.010074743153179034
sharrow_YES,0.009157047069753049
sharrow_NO,0.006252347654508141
oneway_yn_YES,0.004884011367860897
facility_type_BIKE LANE,0.003185579884184347
sharrow_missing,0.003084147154895919
cyc_ntwrk_yn_NO,0.002126046523179663
cyc_ntwrk_yn_YES,0.0017158695509599375
oneway_yn_NO,0.0016204345123139936
facility_type_missing,0.001314749917031127
facility_type_BIKE PATH,0.0005103586529875325
surface_type_missing,0.00028105319882999155
surface_type_GREEN PAINT,4.2021129629261714e-05
surface_type_GREEN-BACKED SHARROWS,1.500361977814752e-05
